#Names	beta-glucan	cellulose	chitin	lignin	mannan	pectin	starch	xylan	xyloglucan
Tetrapisispora iriomotensis	3.0	7.0	7.0	5.0	8.0	0.0	10.0	8.0	11.0
Tetrapisispora namnaonensis	3.0	6.0	7.0	5.0	7.0	0.0	9.0	7.0	10.0
Tetrapisispora phaffii	3.0	8.0	6.0	6.0	8.0	0.0	10.0	8.0	12.0
Tortispora caseinolytica	7.0	5.0	12.0	3.0	6.0	0.0	8.0	7.0	13.0
Tortispora ganteri	7.0	5.0	10.0	3.0	6.0	0.0	8.0	7.0	13.0
Tortispora starmeri	6.0	5.0	10.0	4.0	6.0	0.0	9.0	8.0	12.0
Torulaspora delbrueckii	4.0	7.0	8.0	7.0	7.0	0.0	11.0	6.0	11.0
Torulaspora franciscae	3.0	7.0	7.0	6.0	8.0	0.0	11.0	6.0	11.0
Torulaspora maleeae	4.0	7.0	7.0	8.0	7.0	0.0	11.0	6.0	11.0
Torulaspora microellipsoides	3.0	6.0	7.0	8.0	7.0	0.0	8.0	6.0	10.0
Torulaspora pretoriensis	4.0	7.0	6.0	7.0	6.0	0.0	11.0	7.0	11.0
Trigonopsis variabilis	4.0	6.0	9.0	7.0	8.0	0.0	8.0	9.0	9.0
Trigonopsis vinaria	4.0	9.0	6.0	8.0	10.0	0.0	8.0	7.0	13.0
Vanderwaltozyma polyspora	4.0	25.0	8.0	6.0	23.0	0.0	9.0	23.0	30.0
Wickerhamia fluorescens	6.0	8.0	14.0	5.0	10.0	0.0	7.0	8.0	12.0
Wickerhamiella cacticola	2.0	7.0	5.0	6.0	10.0	0.0	7.0	6.0	9.0
Wickerhamiella domercqiae	3.0	7.0	7.0	7.0	8.0	0.0	7.0	6.0	8.0
Wickerhamomyces alni	9.0	20.0	8.0	7.0	17.0	3.0	10.0	17.0	21.0
Wickerhamomyces anomalus	10.0	18.0	10.0	12.0	11.0	0.0	13.0	17.0	17.0
Wickerhamomyces bovis	6.0	15.0	9.0	8.0	13.0	0.0	11.0	12.0	15.0
Wickerhamomyces canadensis	9.0	24.0	9.0	7.0	13.0	4.0	11.0	15.0	23.0
Wickerhamomyces ciferrii	10.0	18.0	11.0	6.0	12.0	0.0	13.0	12.0	18.0
Wickerhamomyces hampshirensis	10.0	20.0	9.0	8.0	14.0	4.0	14.0	17.0	22.0
Yamadazyma nakazawae	10.0	14.0	11.0	5.0	13.0	0.0	10.0	15.0	21.0
Yamadazyma philogaea	8.0	15.0	6.0	6.0	14.0	0.0	10.0	15.0	19.0
Yamadazyma scolyti	10.0	19.0	10.0	4.0	21.0	2.0	13.0	17.0	26.0
Yarrowia bubula	14.0	13.0	12.0	8.0	11.0	1.0	7.0	14.0	19.0
Yarrowia deformans	13.0	13.0	10.0	7.0	11.0	1.0	8.0	15.0	18.0
Yarrowia divulgata	12.0	12.0	11.0	7.0	11.0	1.0	7.0	14.0	17.0
Yarrowia keelungensis	11.0	11.0	11.0	7.0	11.0	1.0	7.0	12.0	16.0
Yarrowia lipolytica	11.0	11.0	11.0	7.0	11.0	1.0	7.0	13.0	16.0
Yueomyces sinensis	3.0	8.0	7.0	2.0	8.0	0.0	9.0	7.0	12.0
Zygoascus meyerae	11.0	18.0	10.0	7.0	14.0	1.0	9.0	17.0	29.0
Zygoascus ofunaensis	6.0	13.0	14.0	5.0	23.0	5.0	7.0	17.0	30.0
Zygosaccharomyces bailii	5.0	8.0	8.0	7.0	6.0	0.0	8.0	7.0	14.0
Zygosaccharomyces bisporus	5.0	7.0	8.0	7.0	5.0	0.0	8.0	5.0	13.0
Zygosaccharomyces kombuchaensis	5.0	8.0	8.0	7.0	6.0	0.0	10.0	6.0	13.0
Zygosaccharomyces rouxii	3.0	9.0	6.0	6.0	6.0	0.0	9.0	6.0	12.0
Zygotorulaspora florentina	4.0	5.0	8.0	8.0	7.0	0.0	13.0	6.0	10.0
Zygotorulaspora mrakii	5.0	6.0	8.0	8.0	7.0	0.0	9.0	7.0	12.0
