#Names	beta-glucan	cellulose	chitin	lignin	mannan	pectin	starch	xylan	xyloglucan
Candida parapsilosis	9.0	12.0	15.0	6.0	12.0	0.0	12.0	9.0	19.0
Candida ponderosae	10.0	12.0	12.0	8.0	11.0	3.0	9.0	16.0	18.0
Suhomyces pyralidae	8.0	11.0	10.0	5.0	11.0	0.0	7.0	7.0	17.0
Candida restingae	9.0	9.0	10.0	5.0	9.0	0.0	8.0	10.0	14.0
Candida rhagii	10.0	10.0	11.0	5.0	14.0	2.0	10.0	11.0	17.0
Groenewaldozyma salmanticensis	8.0	18.0	16.0	9.0	18.0	0.0	12.0	14.0	25.0
Candida schatavii	7.0	10.0	11.0	6.0	10.0	0.0	8.0	8.0	14.0
Candida sojae	8.0	12.0	11.0	6.0	13.0	0.0	14.0	12.0	20.0
Candida sorboxylosa	4.0	13.0	6.0	6.0	8.0	0.0	8.0	8.0	11.0
Candida stellimalicola	6.0	27.0	9.0	8.0	9.0	0.0	6.0	11.0	18.0
Candida succiphila	7.0	12.0	6.0	5.0	9.0	2.0	8.0	12.0	14.0
Candida tammaniensis	11.0	17.0	12.0	6.0	15.0	1.0	12.0	19.0	22.0
Suhomyces tanzawaensis	13.0	12.0	13.0	5.0	12.0	0.0	9.0	10.0	19.0
Yamadazyma tenuis	9.0	14.0	11.0	5.0	18.0	1.0	12.0	18.0	22.0
Candida tropicalis	7.0	12.0	20.0	5.0	13.0	0.0	16.0	11.0	18.0
Candida vartiovaarae	7.0	16.0	9.0	7.0	13.0	0.0	10.0	13.0	19.0
Wickerhamiella versatilis	12.0	28.0	11.0	4.0	23.0	0.0	8.0	27.0	31.0
Candida wancherniae	8.0	13.0	8.0	4.0	9.0	0.0	11.0	10.0	19.0
Cephaloascus albidus	10.0	11.0	10.0	8.0	12.0	0.0	7.0	11.0	20.0
Cephaloascus fragrans	10.0	15.0	11.0	12.0	10.0	1.0	8.0	8.0	21.0
Citeromyces hawaiiensis	4.0	5.0	6.0	6.0	7.0	0.0	14.0	7.0	9.0
Citeromyces matritensis	4.0	4.0	8.0	6.0	7.0	0.0	12.0	7.0	8.0
Citeromyces siamensis	4.0	10.0	13.0	10.0	11.0	0.0	23.0	8.0	15.0
Clavispora lusitaniae	8.0	12.0	8.0	6.0	10.0	1.0	11.0	11.0	18.0
Cyberlindnera americana	9.0	18.0	7.0	7.0	13.0	3.0	14.0	15.0	22.0
Cyberlindnera fabianii	11.0	18.0	9.0	8.0	13.0	0.0	11.0	15.0	20.0
Cyberlindnera jadinii	8.0	13.0	8.0	9.0	12.0	0.0	11.0	13.0	20.0
Cyberlindnera maclurae	5.0	11.0	7.0	6.0	11.0	0.0	9.0	8.0	15.0
Cyberlindnera misumaiensis	5.0	12.0	7.0	6.0	13.0	0.0	10.0	10.0	17.0
Cyberlindnera mrakii	7.0	19.0	8.0	7.0	12.0	2.0	9.0	12.0	20.0
Cyberlindnera petersonii	10.0	17.0	9.0	7.0	13.0	1.0	9.0	13.0	23.0
Cyberlindnera saturnus	6.0	16.0	8.0	7.0	13.0	2.0	9.0	11.0	17.0
Cyberlindnera suaveolens	6.0	21.0	8.0	5.0	13.0	0.0	9.0	9.0	18.0
Cyberlindnera xylosilytica	17.0	33.0	9.0	9.0	14.0	3.0	13.0	25.0	31.0
Danielozyma ontarioensis	11.0	13.0	12.0	6.0	14.0	1.0	12.0	11.0	23.0
Deakozyma indianensis	7.0	12.0	7.0	5.0	11.0	0.0	10.0	13.0	17.0
Debaryomyces fabryi	13.0	16.0	12.0	7.0	16.0	1.0	11.0	17.0	26.0
Debaryomyces hansenii	9.0	13.0	11.0	6.0	14.0	2.0	13.0	14.0	21.0
Debaryomyces maramus	11.0	13.0	13.0	6.0	15.0	0.0	11.0	12.0	24.0
Debaryomyces nepalensis	8.0	15.0	10.0	6.0	15.0	1.0	11.0	13.0	22.0
Debaryomyces prosopidis	10.0	17.0	10.0	7.0	12.0	0.0	15.0	14.0	21.0
Debaryomyces subglobosus	11.0	16.0	10.0	6.0	15.0	2.0	11.0	15.0	25.0
Brettanomyces bruxellensis	4.0	8.0	3.0	9.0	9.0	0.0	14.0	12.0	12.0
Diddensiella caesifluorescens	13.0	22.0	16.0	7.0	21.0	4.0	14.0	18.0	34.0
Dipodascus albidus	6.0	25.0	13.0	8.0	18.0	1.0	11.0	14.0	20.0
Dipodascus geniculatus	6.0	17.0	13.0	6.0	18.0	1.0	8.0	14.0	19.0
Eremothecium coryli	3.0	6.0	6.0	6.0	11.0	0.0	7.0	6.0	10.0
Eremothecium cymbalariae	3.0	6.0	6.0	5.0	7.0	0.0	7.0	6.0	10.0
Eremothecium gossypii	3.0	7.0	5.0	4.0	11.0	1.0	7.0	7.0	11.0
Eremothecium sinecaudum	3.0	4.0	5.0	5.0	10.0	0.0	7.0	6.0	9.0
Geotrichum candidum	8.0	26.0	15.0	7.0	14.0	6.0	9.0	12.0	21.0
Hanseniaspora clermontiae	5.0	7.0	5.0	4.0	3.0	0.0	5.0	5.0	10.0
Hanseniaspora osmophila	5.0	11.0	5.0	4.0	6.0	0.0	7.0	8.0	14.0
Hanseniaspora pseudoguilliermondii	5.0	4.0	5.0	4.0	3.0	0.0	5.0	5.0	7.0
Hanseniaspora singularis	4.0	5.0	5.0	4.0	2.0	0.0	7.0	4.0	8.0
Hanseniaspora uvarum	4.0	2.0	5.0	5.0	3.0	0.0	5.0	4.0	5.0
Hanseniaspora valbyensis	5.0	4.0	5.0	4.0	2.0	0.0	7.0	5.0	7.0
Hanseniaspora vineae	4.0	10.0	5.0	4.0	6.0	0.0	7.0	7.0	13.0
Hyphopichia burtonii	9.0	11.0	11.0	6.0	18.0	0.0	10.0	10.0	19.0
Hyphopichia heimii	12.0	11.0	13.0	6.0	14.0	2.0	9.0	11.0	19.0
Kazachstania aerobia	3.0	5.0	7.0	7.0	6.0	0.0	10.0	6.0	9.0
Kazachstania africana	4.0	10.0	9.0	4.0	10.0	0.0	9.0	9.0	15.0
Kazachstania bromeliacearum	3.0	8.0	7.0	5.0	7.0	0.0	11.0	7.0	12.0
Kazachstania intestinalis	3.0	5.0	8.0	6.0	7.0	0.0	10.0	7.0	9.0
Kazachstania kunashirensis	6.0	6.0	9.0	5.0	6.0	0.0	11.0	6.0	13.0
Kazachstania martiniae	3.0	6.0	7.0	5.0	8.0	0.0	12.0	8.0	10.0
Kazachstania naganishii	5.0	7.0	8.0	6.0	7.0	0.0	10.0	7.0	13.0
Kazachstania rosinii	3.0	7.0	7.0	5.0	7.0	0.0	12.0	6.0	11.0
Kazachstania siamensis	4.0	9.0	8.0	6.0	7.0	0.0	11.0	7.0	14.0
Kazachstania solicola	4.0	8.0	8.0	7.0	6.0	0.0	9.0	6.0	13.0
Kazachstania spencerorum	3.0	7.0	6.0	8.0	9.0	0.0	10.0	8.0	11.0
Kazachstania taianensis	3.0	9.0	6.0	7.0	7.0	0.0	10.0	8.0	13.0
Kazachstania transvaalensis	3.0	7.0	6.0	4.0	7.0	0.0	12.0	7.0	11.0
Kazachstania turicensis	3.0	7.0	7.0	6.0	6.0	0.0	12.0	6.0	11.0
Kazachstania unispora	5.0	7.0	9.0	5.0	7.0	0.0	10.0	7.0	13.0
Kazachstania viticola	4.0	5.0	8.0	5.0	7.0	0.0	9.0	6.0	10.0
Kazachstania yakushimaensis	3.0	8.0	6.0	4.0	7.0	0.0	17.0	7.0	12.0
Kloeckera hatyaiensis	3.0	4.0	4.0	5.0	3.0	0.0	6.0	4.0	6.0
Kluyveromyces aestuarii	6.0	6.0	9.0	6.0	8.0	0.0	9.0	8.0	12.0
Kluyveromyces dobzhanskii	4.0	4.0	8.0	6.0	6.0	0.0	12.0	6.0	8.0
Kluyveromyces lactis	6.0	8.0	8.0	5.0	7.0	0.0	9.0	8.0	13.0
Kluyveromyces marxianus	4.0	6.0	7.0	6.0	7.0	1.0	8.0	6.0	11.0
Kodamaea laetipori	13.0	15.0	15.0	5.0	11.0	0.0	10.0	13.0	22.0
Kodamaea ohmeri	10.0	9.0	11.0	5.0	10.0	0.0	10.0	10.0	15.0
Komagataella pastoris	4.0	19.0	6.0	5.0	7.0	3.0	7.0	7.0	13.0
Komagataella populi	4.0	20.0	6.0	5.0	7.0	2.0	7.0	7.0	14.0
Komagataella pseudopastoris	4.0	21.0	6.0	5.0	7.0	2.0	7.0	7.0	14.0
Kregervanrija delftensis	6.0	13.0	7.0	7.0	11.0	0.0	8.0	12.0	13.0
Kregervanrija fluxuum	6.0	13.0	7.0	6.0	9.0	0.0	8.0	11.0	14.0
Kuraishia capsulata	11.0	26.0	7.0	5.0	11.0	7.0	8.0	18.0	27.0
Kuraishia molischiana	13.0	26.0	9.0	5.0	11.0	6.0	8.0	19.0	28.0
Kuraishia ogatae	4.0	10.0	7.0	5.0	9.0	0.0	13.0	7.0	12.0
Kurtzmaniella cleridarum	7.0	11.0	9.0	6.0	8.0	0.0	8.0	8.0	15.0
Lachancea cidri	4.0	5.0	8.0	8.0	7.0	0.0	12.0	5.0	10.0
Lachancea dasiensis	4.0	4.0	11.0	7.0	7.0	0.0	11.0	5.0	9.0
lachancea_fantastica	4.0	3.0	10.0	6.0	6.0	1.0	11.0	5.0	8.0
Lachancea fermentati	5.0	12.0	9.0	7.0	7.0	0.0	10.0	7.0	16.0
Lachancea kluyveri	4.0	10.0	10.0	6.0	10.0	1.0	13.0	9.0	14.0
Lachancea lanzarotensis	4.0	5.0	10.0	7.0	6.0	0.0	10.0	5.0	10.0
Lachancea meyersii	4.0	3.0	9.0	6.0	6.0	1.0	12.0	5.0	8.0
Lachancea mirantina	4.0	4.0	8.0	8.0	6.0	0.0	10.0	5.0	9.0
Lachancea nothofagi	4.0	5.0	11.0	6.0	8.0	0.0	10.0	5.0	10.0
Lachancea quebecensis	4.0	8.0	9.0	7.0	8.0	1.0	11.0	6.0	13.0
Lachancea thermotolerans	4.0	7.0	8.0	6.0	6.0	1.0	11.0	5.0	12.0
Lachancea waltii	4.0	4.0	9.0	7.0	6.0	1.0	8.0	6.0	9.0
Lipomyces arxii	10.0	21.0	15.0	10.0	18.0	1.0	25.0	21.0	27.0
Lipomyces doorenjongii	6.0	14.0	17.0	6.0	12.0	0.0	8.0	20.0	17.0
Lipomyces japonicus	6.0	12.0	9.0	5.0	11.0	2.0	7.0	14.0	17.0
Lipomyces kononenkoae	9.0	14.0	15.0	9.0	13.0	0.0	21.0	13.0	23.0
Lipomyces lipofer	8.0	16.0	16.0	9.0	15.0	3.0	31.0	20.0	25.0
Lipomyces mesembrius	5.0	9.0	18.0	8.0	13.0	0.0	10.0	12.0	14.0
Lipomyces oligophaga	7.0	7.0	23.0	10.0	14.0	0.0	8.0	14.0	16.0
Lipomyces starkeyi	11.0	19.0	15.0	12.0	17.0	5.0	28.0	21.0	26.0
Lipomyces suomiensis	10.0	17.0	20.0	10.0	13.0	2.0	7.0	22.0	22.0
Lodderomyces elongisporus	5.0	7.0	10.0	6.0	10.0	0.0	9.0	7.0	12.0
Magnusiomyces tetraspermus	8.0	15.0	10.0	9.0	17.0	0.0	8.0	14.0	20.0
Martiniozyma abiesophila	4.0	5.0	11.0	7.0	10.0	0.0	8.0	7.0	9.0
Metschnikowia aberdeeniae	7.0	9.0	6.0	4.0	8.0	0.0	10.0	10.0	13.0
Metschnikowia arizonensis	9.0	10.0	8.0	4.0	8.0	0.0	10.0	10.0	16.0
metschnikowia_bicuspidata	9.0	14.0	6.0	5.0	10.0	0.0	9.0	14.0	18.0
Metschnikowia borealis	10.0	11.0	8.0	4.0	8.0	0.0	11.0	11.0	17.0
Metschnikowia bowlesiae	10.0	10.0	8.0	5.0	8.0	0.0	11.0	11.0	16.0
Metschnikowia cerradonensis	11.0	11.0	9.0	4.0	8.0	0.0	10.0	11.0	18.0
Metschnikowia continentalis	11.0	13.0	9.0	4.0	9.0	0.0	10.0	12.0	20.0
Metschnikowia dekortorum	11.0	13.0	8.0	5.0	9.0	0.0	10.0	13.0	19.0
Metschnikowia drakensbergensis	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
Metschnikowia hamakuensis	9.0	11.0	7.0	5.0	9.0	0.0	11.0	11.0	17.0
Metschnikowia hawaiiensis	9.0	12.0	8.0	4.0	8.0	0.0	10.0	10.0	18.0
Metschnikowia hibisci	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
Metschnikowia ipomoeae	9.0	11.0	8.0	4.0	8.0	0.0	11.0	10.0	17.0
Metschnikowia kamakouana	9.0	10.0	8.0	4.0	8.0	0.0	10.0	10.0	16.0
Metschnikowia kipukae	9.0	10.0	10.0	4.0	8.0	0.0	10.0	10.0	16.0
Metschnikowia lochheadii	10.0	12.0	8.0	5.0	8.0	0.0	10.0	11.0	18.0
metschnikowia_matae	11.0	12.0	8.0	4.0	8.0	0.0	10.0	12.0	18.0
metschnikowia_matae_maris	10.0	11.0	8.0	4.0	8.0	0.0	10.0	11.0	17.0
Metschnikowia mauinuiana	9.0	10.0	7.0	4.0	8.0	0.0	10.0	10.0	16.0
Metschnikowia proteae	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
Metschnikowia santaceciliae	10.0	11.0	8.0	4.0	8.0	0.0	10.0	11.0	17.0
Metschnikowia shivogae	7.0	10.0	6.0	4.0	8.0	0.0	11.0	10.0	14.0
Metschnikowia similis	10.0	11.0	8.0	5.0	9.0	0.0	11.0	12.0	17.0
Meyerozyma caribbica	10.0	15.0	10.0	6.0	14.0	0.0	12.0	12.0	22.0
Meyerozyma guilliermondii	11.0	14.0	12.0	7.0	14.0	1.0	13.0	12.0	22.0
Middelhovenomyces tepae	8.0	15.0	11.0	6.0	11.0	0.0	11.0	14.0	22.0
Millerozyma acaciae	6.0	13.0	7.0	6.0	12.0	0.0	8.0	10.0	16.0
nadsonia_fulvescens	3.0	9.0	7.0	5.0	6.0	0.0	11.0	8.0	12.0
nadsonia_fulvescens_var_elongata	4.0	9.0	8.0	5.0	6.0	0.0	11.0	8.0	13.0
Nakaseomyces bacillisporus	4.0	8.0	9.0	6.0	8.0	0.0	10.0	9.0	13.0
Candida bracarensis	5.0	7.0	10.0	6.0	7.0	0.0	11.0	8.0	13.0
Candida castellii	5.0	6.0	9.0	4.0	8.0	0.0	11.0	9.0	12.0
Nakaseomyces delphensis	6.0	7.0	12.0	7.0	7.0	0.0	11.0	8.0	14.0
Candida nivariensis	5.0	12.0	10.0	6.0	7.0	0.0	12.0	8.0	18.0
Nakazawaea holstii	11.0	25.0	9.0	7.0	14.0	2.0	8.0	16.0	24.0
Nakazawaea peltata	13.0	15.0	11.0	7.0	11.0	1.0	9.0	15.0	21.0
Naumovozyma castellii	6.0	7.0	9.0	3.0	10.0	0.0	13.0	7.0	14.0
Naumovozyma dairenensis	4.0	7.0	7.0	4.0	8.0	0.0	11.0	7.0	12.0
Ogataea glucozyma	8.0	13.0	11.0	6.0	9.0	3.0	8.0	14.0	16.0
Ogataea henricii	7.0	12.0	11.0	5.0	8.0	5.0	8.0	14.0	14.0
Ogataea kodamae	4.0	9.0	6.0	6.0	8.0	0.0	7.0	9.0	10.0
Ogataea methanolica	8.0	18.0	9.0	5.0	9.0	0.0	8.0	14.0	19.0
Ogataea methylivora	7.0	14.0	9.0	7.0	10.0	1.0	8.0	15.0	17.0
Ogataea minuta	4.0	13.0	6.0	5.0	8.0	0.0	8.0	10.0	13.0
Ogataea naganishii	7.0	16.0	7.0	6.0	13.0	2.0	10.0	14.0	20.0
Ogataea nitratoaversa	6.0	14.0	8.0	5.0	10.0	0.0	7.0	14.0	12.0
Ogataea nonfermentans	4.0	10.0	7.0	5.0	8.0	0.0	8.0	10.0	11.0
Ogataea parapolymorpha	6.0	9.0	8.0	5.0	8.0	1.0	8.0	11.0	11.0
Ogataea philodendri	3.0	8.0	6.0	5.0	8.0	0.0	8.0	8.0	9.0
Ogataea pilisensis	13.0	21.0	8.0	5.0	10.0	0.0	8.0	20.0	19.0
Ogataea pini	7.0	12.0	10.0	5.0	8.0	3.0	7.0	14.0	14.0
Ogataea polymorpha	4.0	9.0	7.0	5.0	8.0	1.0	8.0	11.0	10.0
Ogataea populialbae	7.0	14.0	11.0	5.0	8.0	1.0	7.0	15.0	16.0
Ogataea ramenticola	6.0	18.0	11.0	5.0	10.0	2.0	8.0	12.0	15.0
Ogataea trehaloabstinens	11.0	18.0	10.0	6.0	8.0	1.0	8.0	19.0	21.0
Ogataea trehalophila	6.0	11.0	6.0	5.0	9.0	0.0	8.0	10.0	12.0
Ogataea zsoltii	10.0	14.0	11.0	7.0	8.0	6.0	8.0	16.0	17.0
Pachysolen tannophilus	6.0	8.0	7.0	6.0	9.0	0.0	8.0	10.0	12.0
Peterozyma toletana	11.0	20.0	7.0	7.0	13.0	6.0	10.0	18.0	21.0
Peterozyma xylosa	13.0	20.0	9.0	6.0	13.0	4.0	10.0	17.0	23.0
Phaffomyces antillensis	7.0	10.0	8.0	7.0	10.0	3.0	7.0	11.0	15.0
Phaffomyces opuntiae	7.0	11.0	8.0	7.0	10.0	3.0	8.0	11.0	16.0
Phaffomyces thermotolerans	5.0	8.0	8.0	8.0	8.0	2.0	7.0	9.0	12.0
Pichia exigua	3.0	9.0	5.0	6.0	9.0	0.0	9.0	7.0	8.0
Pichia heedii	3.0	8.0	5.0	6.0	9.0	0.0	7.0	7.0	8.0
Pichia kudriavzevii	4.0	8.0	7.0	5.0	9.0	0.0	8.0	8.0	9.0
Pichia membranifaciens	4.0	5.0	10.0	7.0	9.0	0.0	9.0	7.0	9.0
Pichia nakasei	5.0	11.0	5.0	6.0	9.0	0.0	9.0	8.0	12.0
Pichia norvegensis	7.0	9.0	9.0	6.0	9.0	0.0	8.0	8.0	12.0
Pichia occidentalis	4.0	12.0	5.0	6.0	9.0	0.0	8.0	8.0	11.0
Pichia terricola	4.0	9.0	7.0	5.0	9.0	0.0	9.0	7.0	9.0
Priceomyces carsonii	9.0	16.0	12.0	5.0	17.0	0.0	12.0	14.0	20.0
Priceomyces castillae	8.0	11.0	9.0	6.0	15.0	0.0	9.0	11.0	17.0
Priceomyces haplophilus	5.0	8.0	10.0	6.0	14.0	0.0	9.0	9.0	12.0
Priceomyces medius	7.0	13.0	11.0	6.0	16.0	0.0	10.0	14.0	17.0
Saccharomyces arboricola	3.0	7.0	8.0	6.0	8.0	1.0	13.0	8.0	11.0
Saccharomyces cerevisiae	3.0	10.0	8.0	8.0	7.0	1.0	16.0	8.0	14.0
Saccharomyces eubayanus	5.0	5.0	10.0	6.0	8.0	3.0	18.0	8.0	11.0
Saccharomyces kudriavzevii	5.0	11.0	10.0	5.0	7.0	1.0	15.0	8.0	17.0
Saccharomyces mikatae	3.0	10.0	8.0	5.0	7.0	1.0	17.0	8.0	14.0
Saccharomyces paradoxus	3.0	8.0	8.0	6.0	6.0	1.0	19.0	7.0	12.0
Saccharomyces uvarum	3.0	5.0	9.0	6.0	8.0	2.0	15.0	8.0	9.0
Saccharomycopsis capsularis	9.0	15.0	20.0	6.0	15.0	2.0	13.0	11.0	24.0
Saccharomycopsis malanga	13.0	19.0	28.0	5.0	16.0	1.0	12.0	12.0	25.0
Saprochaete clavata	6.0	16.0	7.0	4.0	10.0	0.0	6.0	11.0	16.0
Saturnispora dispora	3.0	11.0	5.0	4.0	9.0	0.0	8.0	9.0	11.0
Saturnispora hagleri	3.0	11.0	6.0	4.0	9.0	0.0	8.0	9.0	11.0
Saturnispora mendoncae	4.0	9.0	6.0	4.0	9.0	0.0	8.0	7.0	13.0
Saturnispora saitoi	3.0	12.0	7.0	4.0	9.0	0.0	9.0	7.0	11.0
Saturnispora serradocipensis	3.0	12.0	7.0	4.0	11.0	0.0	8.0	7.0	12.0
Saturnispora silvae	3.0	10.0	15.0	4.0	9.0	0.0	7.0	7.0	13.0
Saturnispora zaruensis	3.0	10.0	7.0	4.0	9.0	0.0	8.0	7.0	11.0
Scheffersomyces lignosus	15.0	20.0	15.0	5.0	17.0	0.0	12.0	18.0	30.0
Scheffersomyces stipitis	13.0	18.0	12.0	5.0	16.0	0.0	18.0	17.0	28.0
Spathaspora arborariae	12.0	16.0	15.0	7.0	11.0	0.0	12.0	15.0	25.0
Spathaspora girioi	12.0	16.0	20.0	8.0	13.0	0.0	12.0	17.0	23.0
Spathaspora gorwiae	13.0	17.0	14.0	7.0	13.0	0.0	13.0	18.0	27.0
Spathaspora hagerdaliae	14.0	14.0	15.0	6.0	13.0	0.0	12.0	18.0	25.0
Spathaspora passalidarum	16.0	17.0	16.0	5.0	12.0	0.0	12.0	18.0	27.0
Spencermartinsiella europaea	17.0	32.0	18.0	12.0	28.0	9.0	18.0	35.0	54.0
Sporopachydermia lactativora	4.0	8.0	6.0	5.0	7.0	0.0	11.0	6.0	10.0
Sporopachydermia quercuum	5.0	11.0	7.0	5.0	8.0	0.0	8.0	7.0	13.0
Starmera amethionina	5.0	24.0	9.0	7.0	12.0	0.0	6.0	9.0	13.0
Starmera quercuum	6.0	13.0	11.0	4.0	10.0	0.0	9.0	10.0	18.0
Starmerella bombicola	4.0	6.0	8.0	6.0	7.0	0.0	6.0	6.0	8.0
Sugiyamaella lignohabitans	10.0	17.0	14.0	7.0	14.0	1.0	6.0	21.0	25.0
Tetrapisispora blattae	3.0	7.0	6.0	6.0	9.0	0.0	8.0	10.0	11.0
Tetrapisispora fleetii	3.0	6.0	6.0	6.0	7.0	0.0	9.0	7.0	10.0
