#Names	beta-glucan	cellulose	chitin	lignin	mannan	pectin	starch	xylan	xyloglucan
candida_parapsilosis	9.0	12.0	15.0	6.0	12.0	0.0	12.0	9.0	19.0
candida_ponderosae	10.0	12.0	12.0	8.0	11.0	3.0	9.0	16.0	18.0
candida_pyralidae	8.0	11.0	10.0	5.0	11.0	0.0	7.0	7.0	17.0
candida_restingae	9.0	9.0	10.0	5.0	9.0	0.0	8.0	10.0	14.0
candida_rhagii	10.0	10.0	11.0	5.0	14.0	2.0	10.0	11.0	17.0
candida_salmanticensis	8.0	18.0	16.0	9.0	18.0	0.0	12.0	14.0	25.0
candida_schatavii	7.0	10.0	11.0	6.0	10.0	0.0	8.0	8.0	14.0
candida_sojae	8.0	12.0	11.0	6.0	13.0	0.0	14.0	12.0	20.0
candida_sorboxylosa	4.0	13.0	6.0	6.0	8.0	0.0	8.0	8.0	11.0
candida_stellimalicola	6.0	27.0	9.0	8.0	9.0	0.0	6.0	11.0	18.0
candida_succiphila	7.0	12.0	6.0	5.0	9.0	2.0	8.0	12.0	14.0
candida_tammaniensis	11.0	17.0	12.0	6.0	15.0	1.0	12.0	19.0	22.0
candida_tanzawaensis	13.0	12.0	13.0	5.0	12.0	0.0	9.0	10.0	19.0
candida_tenuis	9.0	14.0	11.0	5.0	18.0	1.0	12.0	18.0	22.0
candida_tropicalis	7.0	12.0	20.0	5.0	13.0	0.0	16.0	11.0	18.0
candida_vartiovaarae	7.0	16.0	9.0	7.0	13.0	0.0	10.0	13.0	19.0
candida_versatilis	12.0	28.0	11.0	4.0	23.0	0.0	8.0	27.0	31.0
candida_wancherniae	8.0	13.0	8.0	4.0	9.0	0.0	11.0	10.0	19.0
cephaloascus_albidus	10.0	11.0	10.0	8.0	12.0	0.0	7.0	11.0	20.0
cephaloascus_fragrans	10.0	15.0	11.0	12.0	10.0	1.0	8.0	8.0	21.0
citeromyces_hawaiiensis	4.0	5.0	6.0	6.0	7.0	0.0	14.0	7.0	9.0
citeromyces_matritensis	4.0	4.0	8.0	6.0	7.0	0.0	12.0	7.0	8.0
citeromyces_siamensis	4.0	10.0	13.0	10.0	11.0	0.0	23.0	8.0	15.0
clavispora_lusitaniae	8.0	12.0	8.0	6.0	10.0	1.0	11.0	11.0	18.0
cyberlindnera_americana	9.0	18.0	7.0	7.0	13.0	3.0	14.0	15.0	22.0
cyberlindnera_fabianii	11.0	18.0	9.0	8.0	13.0	0.0	11.0	15.0	20.0
cyberlindnera_jadinii	8.0	13.0	8.0	9.0	12.0	0.0	11.0	13.0	20.0
cyberlindnera_maclurae	5.0	11.0	7.0	6.0	11.0	0.0	9.0	8.0	15.0
cyberlindnera_misumaiensis	5.0	12.0	7.0	6.0	13.0	0.0	10.0	10.0	17.0
cyberlindnera_mrakii	7.0	19.0	8.0	7.0	12.0	2.0	9.0	12.0	20.0
cyberlindnera_petersonii	10.0	17.0	9.0	7.0	13.0	1.0	9.0	13.0	23.0
cyberlindnera_saturnus	6.0	16.0	8.0	7.0	13.0	2.0	9.0	11.0	17.0
cyberlindnera_suaveolens	6.0	21.0	8.0	5.0	13.0	0.0	9.0	9.0	18.0
cyberlindnera_xylosilytica	17.0	33.0	9.0	9.0	14.0	3.0	13.0	25.0	31.0
danielozyma_ontarioensis	11.0	13.0	12.0	6.0	14.0	1.0	12.0	11.0	23.0
deakozyma_indianensis	7.0	12.0	7.0	5.0	11.0	0.0	10.0	13.0	17.0
debaryomyces_fabryi	13.0	16.0	12.0	7.0	16.0	1.0	11.0	17.0	26.0
debaryomyces_hansenii	9.0	13.0	11.0	6.0	14.0	2.0	13.0	14.0	21.0
debaryomyces_maramus	11.0	13.0	13.0	6.0	15.0	0.0	11.0	12.0	24.0
debaryomyces_nepalensis	8.0	15.0	10.0	6.0	15.0	1.0	11.0	13.0	22.0
debaryomyces_prosopidis	10.0	17.0	10.0	7.0	12.0	0.0	15.0	14.0	21.0
debaryomyces_subglobosus	11.0	16.0	10.0	6.0	15.0	2.0	11.0	15.0	25.0
dekkera_bruxellensis	4.0	8.0	3.0	9.0	9.0	0.0	14.0	12.0	12.0
diddensiella_caesifluorescens	13.0	22.0	16.0	7.0	21.0	4.0	14.0	18.0	34.0
dipodascus_albidus	6.0	25.0	13.0	8.0	18.0	1.0	11.0	14.0	20.0
dipodascus_geniculatus	6.0	17.0	13.0	6.0	18.0	1.0	8.0	14.0	19.0
eremothecium_coryli	3.0	6.0	6.0	6.0	11.0	0.0	7.0	6.0	10.0
eremothecium_cymbalariae	3.0	6.0	6.0	5.0	7.0	0.0	7.0	6.0	10.0
eremothecium_gossypii	3.0	7.0	5.0	4.0	11.0	1.0	7.0	7.0	11.0
eremothecium_sinecaudum	3.0	4.0	5.0	5.0	10.0	0.0	7.0	6.0	9.0
geotrichum_candidum	8.0	26.0	15.0	7.0	14.0	6.0	9.0	12.0	21.0
hanseniaspora_clermontiae	5.0	7.0	5.0	4.0	3.0	0.0	5.0	5.0	10.0
hanseniaspora_osmophila	5.0	11.0	5.0	4.0	6.0	0.0	7.0	8.0	14.0
hanseniaspora_pseudoguilliermondii	5.0	4.0	5.0	4.0	3.0	0.0	5.0	5.0	7.0
hanseniaspora_singularis	4.0	5.0	5.0	4.0	2.0	0.0	7.0	4.0	8.0
hanseniaspora_uvarum	4.0	2.0	5.0	5.0	3.0	0.0	5.0	4.0	5.0
hanseniaspora_valbyensis	5.0	4.0	5.0	4.0	2.0	0.0	7.0	5.0	7.0
hanseniaspora_vinae	4.0	10.0	5.0	4.0	6.0	0.0	7.0	7.0	13.0
hyphopichia_burtonii	9.0	11.0	11.0	6.0	18.0	0.0	10.0	10.0	19.0
hyphopichia_heimii	12.0	11.0	13.0	6.0	14.0	2.0	9.0	11.0	19.0
kazachstania_aerobia	3.0	5.0	7.0	7.0	6.0	0.0	10.0	6.0	9.0
kazachstania_africana	4.0	10.0	9.0	4.0	10.0	0.0	9.0	9.0	15.0
kazachstania_bromeliacearum	3.0	8.0	7.0	5.0	7.0	0.0	11.0	7.0	12.0
kazachstania_intestinalis	3.0	5.0	8.0	6.0	7.0	0.0	10.0	7.0	9.0
kazachstania_kunashirensis	6.0	6.0	9.0	5.0	6.0	0.0	11.0	6.0	13.0
kazachstania_martiniae	3.0	6.0	7.0	5.0	8.0	0.0	12.0	8.0	10.0
kazachstania_naganishii	5.0	7.0	8.0	6.0	7.0	0.0	10.0	7.0	13.0
kazachstania_rosinii	3.0	7.0	7.0	5.0	7.0	0.0	12.0	6.0	11.0
kazachstania_siamensis	4.0	9.0	8.0	6.0	7.0	0.0	11.0	7.0	14.0
kazachstania_solicola	4.0	8.0	8.0	7.0	6.0	0.0	9.0	6.0	13.0
kazachstania_spencerorum	3.0	7.0	6.0	8.0	9.0	0.0	10.0	8.0	11.0
kazachstania_taianensis	3.0	9.0	6.0	7.0	7.0	0.0	10.0	8.0	13.0
kazachstania_transvaalensis	3.0	7.0	6.0	4.0	7.0	0.0	12.0	7.0	11.0
kazachstania_turicensis	3.0	7.0	7.0	6.0	6.0	0.0	12.0	6.0	11.0
kazachstania_unispora	5.0	7.0	9.0	5.0	7.0	0.0	10.0	7.0	13.0
kazachstania_viticola	4.0	5.0	8.0	5.0	7.0	0.0	9.0	6.0	10.0
kazachstania_yakushimaensis	3.0	8.0	6.0	4.0	7.0	0.0	17.0	7.0	12.0
kloeckera_hatyaiensis	3.0	4.0	4.0	5.0	3.0	0.0	6.0	4.0	6.0
kluyveromyces_aestuarii	6.0	6.0	9.0	6.0	8.0	0.0	9.0	8.0	12.0
kluyveromyces_dobzhanskii	4.0	4.0	8.0	6.0	6.0	0.0	12.0	6.0	8.0
kluyveromyces_lactis	6.0	8.0	8.0	5.0	7.0	0.0	9.0	8.0	13.0
kluyveromyces_marxianus	4.0	6.0	7.0	6.0	7.0	1.0	8.0	6.0	11.0
kodamaea_laetipori	13.0	15.0	15.0	5.0	11.0	0.0	10.0	13.0	22.0
kodamaea_ohmeri	10.0	9.0	11.0	5.0	10.0	0.0	10.0	10.0	15.0
komagataella_pastoris	4.0	19.0	6.0	5.0	7.0	3.0	7.0	7.0	13.0
komagataella_populi	4.0	20.0	6.0	5.0	7.0	2.0	7.0	7.0	14.0
komagataella_pseudopastoris	4.0	21.0	6.0	5.0	7.0	2.0	7.0	7.0	14.0
kregervanrija_delftensis	6.0	13.0	7.0	7.0	11.0	0.0	8.0	12.0	13.0
kregervanrija_fluxuum	6.0	13.0	7.0	6.0	9.0	0.0	8.0	11.0	14.0
kuraishia_capsulata	11.0	26.0	7.0	5.0	11.0	7.0	8.0	18.0	27.0
kuraishia_molischiana	13.0	26.0	9.0	5.0	11.0	6.0	8.0	19.0	28.0
kuraishia_ogatae	4.0	10.0	7.0	5.0	9.0	0.0	13.0	7.0	12.0
kurtzmaniella_cleridarum	7.0	11.0	9.0	6.0	8.0	0.0	8.0	8.0	15.0
lachancea_cidri	4.0	5.0	8.0	8.0	7.0	0.0	12.0	5.0	10.0
lachancea_dasiensis	4.0	4.0	11.0	7.0	7.0	0.0	11.0	5.0	9.0
lachancea_fantastica	4.0	3.0	10.0	6.0	6.0	1.0	11.0	5.0	8.0
lachancea_fermentati	5.0	12.0	9.0	7.0	7.0	0.0	10.0	7.0	16.0
lachancea_kluyveri	4.0	10.0	10.0	6.0	10.0	1.0	13.0	9.0	14.0
lachancea_lanzarotensis	4.0	5.0	10.0	7.0	6.0	0.0	10.0	5.0	10.0
lachancea_meyersii	4.0	3.0	9.0	6.0	6.0	1.0	12.0	5.0	8.0
lachancea_mirantina	4.0	4.0	8.0	8.0	6.0	0.0	10.0	5.0	9.0
lachancea_nothofagi	4.0	5.0	11.0	6.0	8.0	0.0	10.0	5.0	10.0
lachancea_quebecensis	4.0	8.0	9.0	7.0	8.0	1.0	11.0	6.0	13.0
lachancea_thermotolerans	4.0	7.0	8.0	6.0	6.0	1.0	11.0	5.0	12.0
lachancea_waltii	4.0	4.0	9.0	7.0	6.0	1.0	8.0	6.0	9.0
lipomyces_arxii	10.0	21.0	15.0	10.0	18.0	1.0	25.0	21.0	27.0
lipomyces_doorenjongii	6.0	14.0	17.0	6.0	12.0	0.0	8.0	20.0	17.0
lipomyces_japonicus	6.0	12.0	9.0	5.0	11.0	2.0	7.0	14.0	17.0
lipomyces_kononenkoae	9.0	14.0	15.0	9.0	13.0	0.0	21.0	13.0	23.0
lipomyces_lipofer	8.0	16.0	16.0	9.0	15.0	3.0	31.0	20.0	25.0
lipomyces_mesembrius	5.0	9.0	18.0	8.0	13.0	0.0	10.0	12.0	14.0
lipomyces_oligophaga	7.0	7.0	23.0	10.0	14.0	0.0	8.0	14.0	16.0
lipomyces_starkeyi	11.0	19.0	15.0	12.0	17.0	5.0	28.0	21.0	26.0
lipomyces_suomiensis	10.0	17.0	20.0	10.0	13.0	2.0	7.0	22.0	22.0
lodderomyces_elongisporus	5.0	7.0	10.0	6.0	10.0	0.0	9.0	7.0	12.0
magnusiomyces_tetrasperma	8.0	15.0	10.0	9.0	17.0	0.0	8.0	14.0	20.0
martiniozyma_abiesophila	4.0	5.0	11.0	7.0	10.0	0.0	8.0	7.0	9.0
metschnikowia_aberdeeniae	7.0	9.0	6.0	4.0	8.0	0.0	10.0	10.0	13.0
metschnikowia_arizonensis	9.0	10.0	8.0	4.0	8.0	0.0	10.0	10.0	16.0
metschnikowia_bicuspidata	9.0	14.0	6.0	5.0	10.0	0.0	9.0	14.0	18.0
metschnikowia_borealis	10.0	11.0	8.0	4.0	8.0	0.0	11.0	11.0	17.0
metschnikowia_bowlesiae	10.0	10.0	8.0	5.0	8.0	0.0	11.0	11.0	16.0
metschnikowia_cerradonensis	11.0	11.0	9.0	4.0	8.0	0.0	10.0	11.0	18.0
metschnikowia_continentalis	11.0	13.0	9.0	4.0	9.0	0.0	10.0	12.0	20.0
metschnikowia_dekortum	11.0	13.0	8.0	5.0	9.0	0.0	10.0	13.0	19.0
metschnikowia_drakensbergensis	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
metschnikowia_hamakuensis	9.0	11.0	7.0	5.0	9.0	0.0	11.0	11.0	17.0
metschnikowia_hawaiiensis	9.0	12.0	8.0	4.0	8.0	0.0	10.0	10.0	18.0
metschnikowia_hibisci	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
metschnikowia_ipomoeae	9.0	11.0	8.0	4.0	8.0	0.0	11.0	10.0	17.0
metschnikowia_kamakouana	9.0	10.0	8.0	4.0	8.0	0.0	10.0	10.0	16.0
metschnikowia_kipukae	9.0	10.0	10.0	4.0	8.0	0.0	10.0	10.0	16.0
metschnikowia_lockheadii	10.0	12.0	8.0	5.0	8.0	0.0	10.0	11.0	18.0
metschnikowia_matae	11.0	12.0	8.0	4.0	8.0	0.0	10.0	12.0	18.0
metschnikowia_matae_maris	10.0	11.0	8.0	4.0	8.0	0.0	10.0	11.0	17.0
metschnikowia_mauinuiana	9.0	10.0	7.0	4.0	8.0	0.0	10.0	10.0	16.0
metschnikowia_proteae	9.0	9.0	8.0	4.0	8.0	0.0	10.0	10.0	15.0
metschnikowia_santaceciliae	10.0	11.0	8.0	4.0	8.0	0.0	10.0	11.0	17.0
metschnikowia_shivogae	7.0	10.0	6.0	4.0	8.0	0.0	11.0	10.0	14.0
metschnikowia_similis	10.0	11.0	8.0	5.0	9.0	0.0	11.0	12.0	17.0
meyerozyma_caribbica	10.0	15.0	10.0	6.0	14.0	0.0	12.0	12.0	22.0
meyerozyma_guilliermondii	11.0	14.0	12.0	7.0	14.0	1.0	13.0	12.0	22.0
middelhovenomyces_tepae	8.0	15.0	11.0	6.0	11.0	0.0	11.0	14.0	22.0
millerozyma_acaciae	6.0	13.0	7.0	6.0	12.0	0.0	8.0	10.0	16.0
nadsonia_fulvescens	3.0	9.0	7.0	5.0	6.0	0.0	11.0	8.0	12.0
nadsonia_fulvescens_var_elongata	4.0	9.0	8.0	5.0	6.0	0.0	11.0	8.0	13.0
nakaseomyces_bacillisporus	4.0	8.0	9.0	6.0	8.0	0.0	10.0	9.0	13.0
nakaseomyces_bracarensis	5.0	7.0	10.0	6.0	7.0	0.0	11.0	8.0	13.0
nakaseomyces_castellii	5.0	6.0	9.0	4.0	8.0	0.0	11.0	9.0	12.0
nakaseomyces_delphensis	6.0	7.0	12.0	7.0	7.0	0.0	11.0	8.0	14.0
nakaseomyces_nivariensis	5.0	12.0	10.0	6.0	7.0	0.0	12.0	8.0	18.0
nakazawaea_holstii	11.0	25.0	9.0	7.0	14.0	2.0	8.0	16.0	24.0
nakazawaea_peltata	13.0	15.0	11.0	7.0	11.0	1.0	9.0	15.0	21.0
naumovozyma_castellii	6.0	7.0	9.0	3.0	10.0	0.0	13.0	7.0	14.0
naumovozyma_dairenensis	4.0	7.0	7.0	4.0	8.0	0.0	11.0	7.0	12.0
ogataea_glucozyma	8.0	13.0	11.0	6.0	9.0	3.0	8.0	14.0	16.0
ogataea_henricii	7.0	12.0	11.0	5.0	8.0	5.0	8.0	14.0	14.0
ogataea_kodamae	4.0	9.0	6.0	6.0	8.0	0.0	7.0	9.0	10.0
ogataea_methanolica	8.0	18.0	9.0	5.0	9.0	0.0	8.0	14.0	19.0
ogataea_methylivora	7.0	14.0	9.0	7.0	10.0	1.0	8.0	15.0	17.0
ogataea_minuta	4.0	13.0	6.0	5.0	8.0	0.0	8.0	10.0	13.0
ogataea_naganishii	7.0	16.0	7.0	6.0	13.0	2.0	10.0	14.0	20.0
ogataea_nitratoaversa	6.0	14.0	8.0	5.0	10.0	0.0	7.0	14.0	12.0
ogataea_nonfermentans	4.0	10.0	7.0	5.0	8.0	0.0	8.0	10.0	11.0
ogataea_parapolymorpha	6.0	9.0	8.0	5.0	8.0	1.0	8.0	11.0	11.0
ogataea_philodendra	3.0	8.0	6.0	5.0	8.0	0.0	8.0	8.0	9.0
ogataea_pilisensis	13.0	21.0	8.0	5.0	10.0	0.0	8.0	20.0	19.0
ogataea_pini	7.0	12.0	10.0	5.0	8.0	3.0	7.0	14.0	14.0
ogataea_polymorpha	4.0	9.0	7.0	5.0	8.0	1.0	8.0	11.0	10.0
ogataea_populiabae	7.0	14.0	11.0	5.0	8.0	1.0	7.0	15.0	16.0
ogataea_ramenticola	6.0	18.0	11.0	5.0	10.0	2.0	8.0	12.0	15.0
ogataea_trehaloabstinens	11.0	18.0	10.0	6.0	8.0	1.0	8.0	19.0	21.0
ogataea_trehalophila	6.0	11.0	6.0	5.0	9.0	0.0	8.0	10.0	12.0
ogataea_zsoltii	10.0	14.0	11.0	7.0	8.0	6.0	8.0	16.0	17.0
pachysolen_tannophilus	6.0	8.0	7.0	6.0	9.0	0.0	8.0	10.0	12.0
peterozyma_toletana	11.0	20.0	7.0	7.0	13.0	6.0	10.0	18.0	21.0
peterozyma_xylosa	13.0	20.0	9.0	6.0	13.0	4.0	10.0	17.0	23.0
phaffomyces_antillensis	7.0	10.0	8.0	7.0	10.0	3.0	7.0	11.0	15.0
phaffomyces_opuntiae	7.0	11.0	8.0	7.0	10.0	3.0	8.0	11.0	16.0
phaffomyces_thermotolerans	5.0	8.0	8.0	8.0	8.0	2.0	7.0	9.0	12.0
pichia_exigua	3.0	9.0	5.0	6.0	9.0	0.0	9.0	7.0	8.0
pichia_heedii	3.0	8.0	5.0	6.0	9.0	0.0	7.0	7.0	8.0
pichia_kudriavzevii	4.0	8.0	7.0	5.0	9.0	0.0	8.0	8.0	9.0
pichia_membranifaciens	4.0	5.0	10.0	7.0	9.0	0.0	9.0	7.0	9.0
pichia_nakasei	5.0	11.0	5.0	6.0	9.0	0.0	9.0	8.0	12.0
pichia_norvegensis	7.0	9.0	9.0	6.0	9.0	0.0	8.0	8.0	12.0
pichia_occidentalis	4.0	12.0	5.0	6.0	9.0	0.0	8.0	8.0	11.0
pichia_terricola	4.0	9.0	7.0	5.0	9.0	0.0	9.0	7.0	9.0
priceomyces_carsonii	9.0	16.0	12.0	5.0	17.0	0.0	12.0	14.0	20.0
priceomyces_castillae	8.0	11.0	9.0	6.0	15.0	0.0	9.0	11.0	17.0
priceomyces_haplophilus	5.0	8.0	10.0	6.0	14.0	0.0	9.0	9.0	12.0
priceomyces_medius	7.0	13.0	11.0	6.0	16.0	0.0	10.0	14.0	17.0
saccharomyces_arboricola	3.0	7.0	8.0	6.0	8.0	1.0	13.0	8.0	11.0
saccharomyces_cerevisiae	3.0	10.0	8.0	8.0	7.0	1.0	16.0	8.0	14.0
saccharomyces_eubayanus	5.0	5.0	10.0	6.0	8.0	3.0	18.0	8.0	11.0
saccharomyces_kudriavzevii	5.0	11.0	10.0	5.0	7.0	1.0	15.0	8.0	17.0
saccharomyces_mikatae	3.0	10.0	8.0	5.0	7.0	1.0	17.0	8.0	14.0
saccharomyces_paradoxus	3.0	8.0	8.0	6.0	6.0	1.0	19.0	7.0	12.0
saccharomyces_uvarum	3.0	5.0	9.0	6.0	8.0	2.0	15.0	8.0	9.0
saccharomycopsis_capsularis	9.0	15.0	20.0	6.0	15.0	2.0	13.0	11.0	24.0
saccharomycopsis_malanga	13.0	19.0	28.0	5.0	16.0	1.0	12.0	12.0	25.0
saprochaete_clavata	6.0	16.0	7.0	4.0	10.0	0.0	6.0	11.0	16.0
saturnispora_dispora	3.0	11.0	5.0	4.0	9.0	0.0	8.0	9.0	11.0
saturnispora_hagleri	3.0	11.0	6.0	4.0	9.0	0.0	8.0	9.0	11.0
saturnispora_mendoncae	4.0	9.0	6.0	4.0	9.0	0.0	8.0	7.0	13.0
saturnispora_saitoi	3.0	12.0	7.0	4.0	9.0	0.0	9.0	7.0	11.0
saturnispora_serradocipensis	3.0	12.0	7.0	4.0	11.0	0.0	8.0	7.0	12.0
saturnispora_silvae	3.0	10.0	15.0	4.0	9.0	0.0	7.0	7.0	13.0
saturnispora_zaruensis	3.0	10.0	7.0	4.0	9.0	0.0	8.0	7.0	11.0
scheffersomyces_lignosus	15.0	20.0	15.0	5.0	17.0	0.0	12.0	18.0	30.0
scheffersomyces_stipitis	13.0	18.0	12.0	5.0	16.0	0.0	18.0	17.0	28.0
spathaspora_arborariae	12.0	16.0	15.0	7.0	11.0	0.0	12.0	15.0	25.0
spathaspora_girioi	12.0	16.0	20.0	8.0	13.0	0.0	12.0	17.0	23.0
spathaspora_gorwiae	13.0	17.0	14.0	7.0	13.0	0.0	13.0	18.0	27.0
spathaspora_hagerdaliae	14.0	14.0	15.0	6.0	13.0	0.0	12.0	18.0	25.0
spathaspora_passalidarum	16.0	17.0	16.0	5.0	12.0	0.0	12.0	18.0	27.0
spencermartinsiella_europaea	17.0	32.0	18.0	12.0	28.0	9.0	18.0	35.0	54.0
sporopachydermia_lactativora	4.0	8.0	6.0	5.0	7.0	0.0	11.0	6.0	10.0
sporopachydermia_quercuum	5.0	11.0	7.0	5.0	8.0	0.0	8.0	7.0	13.0
starmera_amethionina	5.0	24.0	9.0	7.0	12.0	0.0	6.0	9.0	13.0
starmera_quercuum	6.0	13.0	11.0	4.0	10.0	0.0	9.0	10.0	18.0
starmerella_bombicola	4.0	6.0	8.0	6.0	7.0	0.0	6.0	6.0	8.0
sugiyamaella_lignohabitans	10.0	17.0	14.0	7.0	14.0	1.0	6.0	21.0	25.0
tetrapisispora_blattae	3.0	7.0	6.0	6.0	9.0	0.0	8.0	10.0	11.0
tetrapisispora_fleetii	3.0	6.0	6.0	6.0	7.0	0.0	9.0	7.0	10.0
tetrapisispora_iriomotensis	3.0	7.0	7.0	5.0	8.0	0.0	10.0	8.0	11.0
